"Date","Plaza ID","Direction","# Vehicles - E-ZPass","# Vehicles - VToll"
"10/29/2016","1","O","38,003","12,199"
"10/28/2016","1","I","35,180","8,196"
"10/28/2016","1","O","37,671","9,094"
"10/27/2016","1","I","33,528","7,160"
"10/27/2016","1","O","36,485","7,940"
"10/26/2016","1","I","34,182","7,187"
"10/26/2016","1","O","37,019","7,748"
"10/25/2016","1","I","32,039","6,886"
"10/25/2016","1","O","33,452","7,430"
"10/24/2016","1","I","30,252","7,063"
"10/24/2016","1","O","33,983","7,924"
"10/23/2016","1","I","30,564","9,829"
"10/23/2016","1","O","33,439","10,188"
"10/22/2016","1","I","28,889","9,546"
"10/22/2016","1","O","31,566","10,666"
"10/21/2016","1","I","33,083","7,941"
"10/21/2016","1","O","36,096","8,940"
"10/20/2016","1","I","32,493","7,290"
"10/20/2016","1","O","36,949","8,100"
"10/19/2016","1","I","33,161","7,216"
"10/19/2016","1","O","36,492","7,953"
"10/18/2016","1","I","31,917","6,977"
"10/18/2016","1","O","35,812","7,802"
"10/17/2016","1","I","31,234","7,301"
"10/17/2016","1","O","33,989","8,065"
"10/16/2016","1","I","29,677","10,293"
"10/16/2016","1","O","34,402","11,135"
"10/15/2016","1","I","34,162","10,883"
"10/15/2016","1","O","33,453","11,360"
"10/14/2016","1","I","36,064","8,513"
"10/14/2016","1","O","36,241","8,787"
"10/13/2016","1","I","35,118","7,290"
"10/13/2016","1","O","35,597","7,752"
"10/12/2016","1","I","30,920","7,031"
"10/12/2016","1","O","33,423","7,704"
"10/11/2016","1","I","32,986","7,327"
"10/11/2016","1","O","35,242","7,819"
"10/10/2016","1","I","28,320","7,785"
"10/10/2016","1","O","33,983","8,502"
"10/09/2016","1","I","25,732","9,009"
"10/09/2016","1","O","29,537","9,723"
"10/08/2016","1","I","31,154","10,074"
"10/08/2016","1","O","31,199","10,796"
"10/07/2016","1","I","35,537","8,385"
"10/07/2016","1","O","36,805","9,278"
"10/06/2016","1","I","35,777","7,549"
"10/06/2016","1","O","35,707","7,678"
"10/05/2016","1","I","33,246","6,997"
"10/05/2016","1","O","36,409","7,718"
"10/04/2016","1","I","31,942","7,244"
"10/04/2016","1","O","33,699","7,606"
"10/03/2016","1","I","30,671","7,550"
"10/03/2016","1","O","33,437","8,009"
"10/02/2016","1","I","27,553","9,480"
"10/02/2016","1","O","30,789","10,035"
"10/01/2016","1","I","30,734","9,999"
"10/01/2016","1","O","31,026","10,538"
"09/29/2016","1","I","33,811","7,078"
"09/29/2016","1","O","36,029","7,756"
"09/28/2016","1","I","33,610","6,926"
"09/28/2016","1","O","36,554","7,765"
"09/27/2016","1","I","33,023","6,856"
"09/27/2016","1","O","36,422","7,704"
"09/26/2016","1","I","32,745","7,331"
"09/26/2016","1","O","35,915","8,185"
"09/25/2016","1","I","31,912","10,695"
"09/25/2016","1","O","35,673","11,128"
"09/24/2016","1","I","35,386","11,165"
"09/24/2016","1","O","33,833","11,319"
"09/23/2016","1","I","34,974","8,456"
"09/23/2016","1","O","38,035","9,505"
"09/22/2016","1","I","35,310","7,511"
"09/22/2016","1","O","37,956","8,295"
